label,volume,convex_volume,solidity,extent,mean_intensity,min_intensity,max_intensity,elongation_ratio,bbox_z,bbox_y,bbox_x,class,frame
149,1434,1980,0.7242424242424242,0.3749019607843137,1.2589097780941603,0.5740514075887393,1.8053855569155446,0.5445308206959681,5,15,17,2,1400
177,1155,1398,0.8261802575107297,0.6169871794871795,1.7362698501009393,0.7478580171358629,2.574051407588739,0.703198843755868,4,12,13,2,1400
310,1119,1443,0.7754677754677755,0.37003968253968256,1.2360102513281772,0.5789473684210527,1.8641370869033047,0.5344643222074381,6,14,12,2,1400
478,1278,1620,0.7888888888888889,0.44375,1.315522264554278,0.5079559363525091,2.0624235006119953,0.5438335026029583,5,12,16,2,1400
1176,1278,1647,0.7759562841530054,0.37967914438502676,1.489262790123031,0.7882496940024479,2.2276621787025706,0.5386400395637324,6,11,17,2,1400
1526,1218,1506,0.8087649402390438,0.3431952662721893,1.4072450573104776,0.6866585067319462,2.0232558139534884,0.43744219643884447,7,13,13,2,1400
1527,1053,1377,0.7647058823529411,0.325,1.449636813161905,0.7968176254589964,2.164014687882497,0.533053446654526,6,15,12,2,1400
1585,1704,2448,0.696078431372549,0.3506172839506173,1.2311811505507955,0.6523867809057528,1.780905752753978,0.4996711872819159,6,15,18,2,1400
1649,1212,1686,0.7188612099644128,0.36996336996337,1.312932486639117,0.6609547123623011,1.95593635250918,0.5455489351344301,6,13,14,2,1400
1652,1233,1497,0.8236472945891784,0.4391025641025641,1.4901053346317754,0.7882496940024479,2.2766217870257037,0.49436739244351735,6,12,13,2,1400
1678,558,642,0.8691588785046729,0.5740740740740741,0.960983666969374,0.6083231334149327,1.4516523867809057,0.6514189537700762,4,9,9,1,1400
1692,1422,2106,0.6752136752136753,0.30980392156862746,1.1914021143527052,0.620563035495716,1.930232558139535,0.556004139902941,6,15,17,2,1400
1810,1596,2343,0.6811779769526248,0.36944444444444446,1.1778466975271715,0.6548347613219094,1.8151774785801713,0.513600907759318,5,18,16,2,1400
1852,1272,1665,0.7639639639639639,0.4348717948717949,1.246097087827071,0.6548347613219094,1.9547123623011016,0.6187030492199892,5,13,15,2,1400
1879,1344,2151,0.6248256624825662,0.2909090909090909,0.8294664714110859,0.31334149326805383,1.2937576499388004,0.23606354086413414,10,14,11,2,1400
1987,1506,1887,0.7980922098569158,0.5122448979591837,2.085379412582229,0.9400244798041616,3.3488372093023258,0.6202280427980266,5,14,14,2,1400
2100,1113,1500,0.742,0.4076923076923077,1.3122692646491174,0.6682986536107711,2.05875152998776,0.6380710557947867,5,14,13,2,1400
2130,1638,2169,0.7551867219917012,0.37916666666666665,1.591662519447097,0.802937576499388,2.440636474908201,0.638507595386616,6,15,16,2,1400
2176,906,1305,0.6942528735632184,0.4494047619047619,0.8330834015579531,0.5177478580171359,1.2472460220318238,0.637705706544266,4,12,14,2,1400
2193,2121,3012,0.704183266932271,0.37969924812030076,1.702343586343247,0.8212974296205631,2.806609547123623,0.5676862405183011,7,19,14,2,1400
2200,1164,1497,0.7775551102204409,0.36952380952380953,1.5035142399273176,0.7307221542227662,2.467564259485924,0.5598118076369344,7,15,10,2,1400
2265,1029,1335,0.7707865168539326,0.3997668997668998,1.5833794262590506,0.8237454100367197,2.3623011015911874,0.5407038904125963,6,11,13,2,1400
2444,1959,2700,0.7255555555555555,0.35335497835497837,1.8748193536656914,0.9730722154222766,3.04406364749082,0.5202989991808215,8,21,11,2,1400
2447,1089,1371,0.7943107221006565,0.40513392857142855,1.4276682480755032,0.828641370869033,1.9865361077111383,0.49642627785183663,7,16,8,2,1400
2484,942,1329,0.708803611738149,0.3322751322751323,0.7979948389712246,0.31211750305997554,1.1774785801713585,0.4908806285746553,7,15,9,2,1400
2545,1368,1956,0.6993865030674846,0.3392857142857143,1.0983245291932402,0.33047735618115054,1.8763769889840882,0.3765663500795932,8,14,12,2,1400
2702,1518,2004,0.7574850299401198,0.4324786324786325,1.3751771883058135,0.5581395348837209,1.9877600979192167,0.6114725862899663,6,15,13,2,1400
2704,4305,7554,0.5698967434471803,0.2609090909090909,2.2496325896988645,0.7980416156670747,3.6585067319461446,0.6099713141009092,10,25,22,3,1400
2882,1362,1680,0.8107142857142857,0.49134199134199136,1.71671366717172,0.813953488372093,2.7233782129742963,0.542346086873299,6,14,11,2,1400
3030,1053,1377,0.7647058823529411,0.2967032967032967,0.9589074056638316,0.36107711138310894,1.4883720930232558,0.462311304732367,7,13,13,2,1400
3099,1077,1413,0.7622080679405521,0.2789432789432789,1.2542217433848273,0.6389228886168911,2.040391676866585,0.2388523486152571,9,13,11,2,1400
3157,2529,4041,0.6258351893095768,0.1879598662207358,1.9767093393501964,0.565483476132191,3.2056303549571603,0.3779022066952554,13,23,15,2,1400
3158,2439,4185,0.5827956989247312,0.23096590909090908,1.9890021544034289,0.6548347613219094,4.197062423500612,0.36651740569899693,10,22,16,2,1400
3261,1653,2250,0.7346666666666667,0.3858543417366947,1.810341495489452,0.6952264381884945,3.4528763769889843,0.5854320433017276,6,17,14,2,1400
3310,2229,3192,0.6983082706766918,0.2751851851851852,2.1432925171861075,0.9583843329253366,3.3586291309669525,0.47408958577787136,9,20,15,2,1400
3531,1308,1692,0.7730496453900709,0.3784722222222222,1.3804335620360908,0.8102815177478581,2.05875152998776,0.5525438503033929,6,12,16,2,1400
3705,1116,1461,0.7638603696098563,0.3668639053254438,1.3340210052513126,0.4847001223990208,1.996328029375765,0.524686467752585,6,13,13,2,1400
3937,1140,1497,0.7615230460921844,0.4175824175824176,1.3237357469561297,0.45165238678090575,1.9730722154222766,0.5984659067020859,5,14,13,2,1400
3939,1110,1440,0.7708333333333334,0.44047619047619047,1.4531211750306,0.5140758873929009,2.254589963280294,0.6552379128368343,5,12,14,2,1400
3940,639,699,0.9141630901287554,0.6051136363636364,1.0638026445084214,0.5018359853121175,1.5569155446756426,0.6037318227197329,4,8,11,1,1400
3942,183,222,0.8243243243243243,0.4357142857142857,0.9562172682946406,0.7123623011015912,1.259485924112607,0.3526026408823057,4,7,5,1,1400
3956,1302,1704,0.7640845070422535,0.5166666666666667,1.5372696557598047,0.5458996328029376,2.254589963280294,0.632836466936105,4,14,15,2,1400
4207,1224,1569,0.780114722753346,0.3448858833474218,1.3115955072359422,0.7001223990208079,2.0122399020807835,0.5875198889020401,7,13,13,2,1400
4359,3939,6252,0.6300383877159309,0.21883333333333332,2.633984978386738,0.8078335373317014,4.619339045287638,0.4704754315395983,10,25,24,3,1400
4433,1401,2067,0.6777939042089985,0.2641402714932127,1.4042705988116548,0.5936352509179926,2.219094247246022,0.3898945862372362,8,13,17,2,1400
4644,1233,1620,0.7611111111111111,0.3494897959183674,1.2733161200403824,0.5960832313341493,1.9106487148102815,0.42069131799014214,7,12,14,2,1400
4975,912,1218,0.7487684729064039,0.31020408163265306,1.3028691296785415,0.7405140758873929,1.9179926560587515,0.43582508264772996,7,14,10,2,1400
5004,1188,1452,0.8181818181818182,0.5076923076923077,1.2794437644498842,0.6964504283965728,1.930232558139535,0.5846247820501052,5,13,12,2,1400
5098,1905,3009,0.6331006979062812,0.2399848828420257,1.8088185121290685,0.5250917992656059,2.773561811505508,0.4205004827899304,7,21,18,2,1400
5216,1206,1416,0.8516949152542372,0.5153846153846153,1.0781222406937163,0.4602203182374541,1.718482252141983,0.6944600503449899,4,13,15,2,1400
5882,1134,1563,0.72552783109405,0.34615384615384615,1.154640477161897,0.6413708690330477,1.7686658506731947,0.5435779769064863,6,14,13,2,1400
6023,1371,1755,0.7811965811965812,0.45337301587301587,1.3832857039550686,0.7968176254589964,2.0379436964504283,0.6551192619035338,6,14,12,2,1400
6024,1413,1737,0.8134715025906736,0.46449704142011833,1.6534132695091308,0.7980416156670747,2.729498164014688,0.563614993627666,6,13,13,2,1400
6105,1050,1467,0.7157464212678937,0.390625,1.3120230809582094,0.7294981640146879,1.813953488372093,0.5200099928583379,7,16,8,2,1400
6283,1254,1611,0.7783985102420856,0.5358974358974359,1.5795505789063735,0.7760097919216646,2.385556915544676,0.6596603430149297,5,12,13,2,1400
6465,942,1170,0.8051282051282052,0.548951048951049,1.2216708635757667,0.7123623011015912,1.93390452876377,0.6723744975640931,4,11,13,2,1400
6467,1122,1728,0.6493055555555556,0.4174107142857143,0.9954803997931654,0.5630354957160343,1.5104039167686658,0.6350733991378361,4,14,16,2,1400
6470,642,741,0.8663967611336032,0.6079545454545454,1.2980816527299557,0.6915544675642595,2.0122399020807835,0.5659195036441876,4,8,11,1,1400
6559,1224,1653,0.7404718693284936,0.40476190476190477,1.1406748746010031,0.6499388004895961,1.6707466340269277,0.6446840306240439,6,14,12,2,1400
6562,1242,1524,0.8149606299212598,0.5686813186813187,1.1790248286709357,0.6719706242350061,1.7025703794369644,0.6324322387787046,4,13,14,2,1400
6802,489,561,0.8716577540106952,0.5821428571428572,0.7670363667765504,0.5018359853121175,0.988984088127295,0.672278948246604,4,10,7,1,1400
6871,1200,1569,0.7648183556405354,0.3968253968253968,1.8632588739290086,0.8555691554467564,3.219094247246022,0.5942457655626777,6,12,14,2,1400
6907,2208,2703,0.8168701442841287,0.3865546218487395,2.138909584375499,0.9755201958384333,3.5030599755201957,0.6191695738607458,7,17,16,2,1400
7183,1113,1437,0.7745302713987474,0.4015151515151515,1.4319563718422865,0.7331701346389229,2.167686658506732,0.5510373742374953,6,11,14,2,1400
7186,1179,1467,0.803680981595092,0.4198717948717949,1.9177310398310705,0.9534883720930233,2.9828641370869033,0.5740411568071698,6,12,13,2,1400
7336,825,1020,0.8088235294117647,0.3472222222222222,1.2277645487927007,0.7539779681762546,1.8115055079559363,0.46821733778840435,6,11,12,2,1400
7450,1215,1755,0.6923076923076923,0.38571428571428573,1.1814044154313432,0.5777233782129743,1.8824969400244798,0.6147009952019923,5,15,14,2,1400
